Size of Matrix,Total Waiting Time
50, 50351866
100, 39040104
150, 45809166
200, 60627326
250, 48030141
300, 142535533
350, 95017508
400, 70000757
450, 116263699
500, 78316979
50, 50285542
100, 28567279
150, 70212119
200, 75620378
250, 84769552
300, 61482451
350, 74059863
400, 94388192
450, 112560927
500, 100384941
50, 41923168
100, 22072338
150, 32137479
200, 37658436
250, 74638154
300, 62600279
350, 68674278
400, 87096232
450, 72896353
500, 91276253
50, 63487840
100, 29389243
150, 27549080
200, 51669439
250, 59634505
300, 68559589
350, 105222383
400, 35862359
450, 89237328
500, 163223142
50, 29554092
100, 25788159
150, 35087918
200, 52215198
250, 66528098
300, 49243692
350, 43985159
400, 79418407
450, 52968590
500, 86882679
50, 73042978
100, 72717620
150, 57225837
200, 43097297
250, 35270200
300, 57114863
350, 83176597
400, 70748307
450, 60492322
500, 83252924
50, 31173625
100, 33872981
150, 47367477
200, 32279919
250, 51626077
300, 102435275
350, 69750266
400, 80440417
450, 87277325
500, 101103703
50, 33148661
100, 22198432
150, 60948638
200, 34915548
250, 75410790
300, 63777499
350, 64763032
400, 51672935
450, 68253002
500, 75478396
