Matrix Size,Total Turnaround Time
50, 61796507
100, 59039747
150, 113715241
200, 131661443
250, 257792022
300, 313588502
350, 567958446
400, 647598885
450, 822662664
500, 1236060680
50, 53445148
100, 71464978
150, 132653839
200, 280168570
250, 310013513
300, 356245575
350, 535974800
400, 556486448
450, 889873962
500, 1061932025
50, 55961404
100, 60062147
150, 122960619
200, 163698049
250, 253003487
300, 350257737
350, 438712171
400, 642776326
450, 913339141
500, 1116189205
50, 105985385
100, 115517932
150, 133340733
200, 155534509
250, 249347673
300, 347057604
350, 557168568
400, 591402366
450, 735686091
500, 992688676
50, 52085354
100, 44428274
150, 73329882
200, 197277656
250, 247789369
300, 359527944
350, 408096919
400, 606518527
450, 1242962501
500, 1186379734
50, 84243445
100, 67664341
150, 88986940
200, 184966291
250, 229469166
300, 377950057
350, 459492568
400, 765116172
450, 814967121
500, 1089213117
50, 58469025
100, 82885514
150, 97762025
200, 162227907
250, 253988832
300, 332268409
350, 552230847
400, 647542902
450, 870389658
500, 1098709405
